date,state,district,pincode,demo_age_5_17,demo_age_17_
16-10-2025,Telangana,Mahabubnagar,509335,0,2
16-10-2025,Telangana,Mahabubnagar,509357,0,7
16-10-2025,Telangana,Mancherial,504204,1,13
16-10-2025,Telangana,Mancherial,504208,4,22
16-10-2025,Telangana,Medak,502110,1,16
16-10-2025,Telangana,Medak,502130,2,3
16-10-2025,Telangana,Medak,502246,0,3
16-10-2025,Telangana,Medak,502247,3,7
16-10-2025,Telangana,Medak,502255,1,17
16-10-2025,Telangana,Medak,502290,1,21
16-10-2025,Telangana,Medak,502293,1,7
16-10-2025,Telangana,Medak,502294,0,2
16-10-2025,Telangana,Medak,502295,0,6
16-10-2025,Telangana,Medak,502300,1,5
16-10-2025,Telangana,Medak,502306,2,3
16-10-2025,Telangana,Medak,502316,4,9
16-10-2025,Telangana,Medak,502319,1,8
16-10-2025,Telangana,Medak,502335,1,1
16-10-2025,Telangana,Medak,502336,0,10
16-10-2025,Telangana,Medak,502345,0,23
16-10-2025,Telangana,Medak,502375,1,1
16-10-2025,Telangana,Medchal-malkajgiri,500014,1,6
16-10-2025,Telangana,Medchal-malkajgiri,500016,0,1
16-10-2025,Telangana,Medchal-malkajgiri,500043,3,8
16-10-2025,Telangana,Medchal-malkajgiri,500068,0,12
16-10-2025,Telangana,Medchal-malkajgiri,501401,0,12
16-10-2025,Telangana,Medchal−malkajgiri,500055,1,2
16-10-2025,Telangana,Medchal−malkajgiri,500072,1,4
16-10-2025,Telangana,Mulugu,506352,1,11
16-10-2025,Telangana,Mulugu,507136,4,14
16-10-2025,Telangana,Nagarkurnool,509102,4,35
16-10-2025,Telangana,Nagarkurnool,509360,2,10
16-10-2025,Telangana,Nalgonda,508001,7,41
16-10-2025,Telangana,Nalgonda,508112,1,2
16-10-2025,Telangana,Nalgonda,508234,0,2
16-10-2025,Telangana,Nalgonda,508247,3,13
16-10-2025,Telangana,Nalgonda,508248,11,41
16-10-2025,Telangana,Nalgonda,508250,6,16
16-10-2025,Telangana,Nalgonda,508255,2,20
16-10-2025,Telangana,Nalgonda,508258,4,15
16-10-2025,Telangana,Nalgonda,508266,3,20
16-10-2025,Telangana,Nalgonda,508279,1,4
16-10-2025,Telangana,Nalgonda,508286,0,2
16-10-2025,Telangana,Nirmal,504105,2,18
16-10-2025,Telangana,Nirmal,504109,8,44
16-10-2025,Telangana,Nirmal,504110,2,17
16-10-2025,Telangana,Nirmal,504306,1,18
16-10-2025,Telangana,Nizamabad,503101,1,5
16-10-2025,Telangana,Nizamabad,503218,2,4
16-10-2025,Telangana,Nizamabad,503225,2,6
16-10-2025,Telangana,Nizamabad,503245,1,15
16-10-2025,Telangana,Nizamabad,503309,1,8
16-10-2025,Telangana,Nizamabad,503310,5,4
16-10-2025,Telangana,Peddapalli,505184,2,12
16-10-2025,Telangana,Peddapalli,505208,0,4
16-10-2025,Telangana,Peddapalli,505525,0,19
16-10-2025,Telangana,Rajanna Sircilla,505301,3,18
16-10-2025,Telangana,Rajanna Sircilla,505302,2,16
16-10-2025,Telangana,Sangareddy,502032,11,58
16-10-2025,Telangana,Sangareddy,502205,0,1
16-10-2025,Telangana,Sangareddy,502221,2,3
16-10-2025,Telangana,Sangareddy,502246,1,3
16-10-2025,Telangana,Sangareddy,502256,0,5
16-10-2025,Telangana,Sangareddy,502257,2,7
16-10-2025,Telangana,Sangareddy,502291,2,16
16-10-2025,Telangana,Sangareddy,502293,0,1
16-10-2025,Telangana,Sangareddy,502294,0,1
16-10-2025,Telangana,Sangareddy,502295,0,6
16-10-2025,Telangana,Sangareddy,502296,0,3
16-10-2025,Telangana,Sangareddy,502345,0,2
16-10-2025,Telangana,Sangareddy,502371,0,1
16-10-2025,Telangana,Siddipet,506224,1,4
16-10-2025,Telangana,Suryapet,508212,2,26
16-10-2025,Telangana,Suryapet,508221,3,16
16-10-2025,Telangana,Vikarabad,501144,8,46
16-10-2025,Telangana,Vikarabad,509350,8,37
16-10-2025,Telangana,Wanaparthy,509105,2,9
16-10-2025,Telangana,Wanaparthy,509203,0,1
16-10-2025,Telangana,Wanaparthy,509206,12,31
16-10-2025,Telangana,Wanaparthy,509381,6,23
16-10-2025,Telangana,Warangal,506013,0,2
16-10-2025,Telangana,Warangal,506101,2,19
16-10-2025,Telangana,Warangal,506105,1,2
16-10-2025,Telangana,Warangal,506122,1,8
16-10-2025,Telangana,Warangal,506132,2,14
16-10-2025,Telangana,Warangal,506144,1,2
16-10-2025,Telangana,Warangal,506169,1,2
16-10-2025,Telangana,Warangal,506252,1,5
16-10-2025,Telangana,Warangal,506302,2,2
16-10-2025,Telangana,Warangal,506345,0,1
16-10-2025,Telangana,Warangal,506367,0,1
16-10-2025,Telangana,Warangal,506368,5,16
16-10-2025,Telangana,Warangal Rural,506006,0,1
16-10-2025,Telangana,Warangal Rural,506122,1,13
16-10-2025,Telangana,Warangal Rural,506342,0,4
16-10-2025,Telangana,Warangal Urban,505102,0,1
16-10-2025,Telangana,Warangal Urban,506007,0,2
16-10-2025,Telangana,Warangal Urban,506142,1,2
16-10-2025,Telangana,Yadadri.,508111,3,15
17-10-2025,Telangana,Adilabad,504106,1,7
17-10-2025,Telangana,Adilabad,504109,0,1
17-10-2025,Telangana,Adilabad,504201,0,7
17-10-2025,Telangana,Adilabad,504218,0,2
17-10-2025,Telangana,Adilabad,504231,0,2
17-10-2025,Telangana,Adilabad,504251,1,3
17-10-2025,Telangana,Adilabad,504308,0,23
17-10-2025,Telangana,Adilabad,504309,4,15
17-10-2025,Telangana,Bhadradri Kothagudem,507115,8,24
17-10-2025,Telangana,Hanumakonda,505471,0,7
17-10-2025,Telangana,Hanumakonda,506145,0,1
17-10-2025,Telangana,Hanumakonda,506151,1,5
17-10-2025,Telangana,Hanumakonda,506342,0,10
17-10-2025,Telangana,Hanumakonda,506370,1,1
17-10-2025,Telangana,Hanumakonda,506371,0,3
17-10-2025,Telangana,Hyderabad,500005,6,33
17-10-2025,Telangana,Hyderabad,500008,8,72
17-10-2025,Telangana,Hyderabad,500009,0,6
17-10-2025,Telangana,Hyderabad,500025,2,5
17-10-2025,Telangana,Hyderabad,500031,1,1
17-10-2025,Telangana,Hyderabad,500036,4,19
17-10-2025,Telangana,Hyderabad,500040,0,7
17-10-2025,Telangana,Hyderabad,500044,3,10
17-10-2025,Telangana,Hyderabad,500067,1,5
17-10-2025,Telangana,Jagitial,505330,0,2
17-10-2025,Telangana,Jagitial,505455,1,5
17-10-2025,Telangana,Jagitial,505532,1,8
17-10-2025,Telangana,Jangaon,506244,0,1
17-10-2025,Telangana,Jangoan,506224,1,6
17-10-2025,Telangana,Jayashankar Bhupalpally,505503,8,43
17-10-2025,Telangana,Jayashankar Bhupalpally,506164,0,2
17-10-2025,Telangana,Jayashankar Bhupalpally,506345,1,8
17-10-2025,Telangana,Jayashankar Bhupalpally,506366,1,14
17-10-2025,Telangana,Jogulamba Gadwal,509126,2,18
17-10-2025,Telangana,K.v. Rangareddy,500030,3,11
17-10-2025,Telangana,K.v. Rangareddy,500070,1,20
17-10-2025,Telangana,K.v. Rangareddy,500074,3,23
17-10-2025,Telangana,K.v. Rangareddy,500083,3,3
17-10-2025,Telangana,K.v. Rangareddy,500104,3,5
17-10-2025,Telangana,K.v. Rangareddy,501141,2,13
17-10-2025,Telangana,K.v. Rangareddy,501401,6,6
17-10-2025,Telangana,K.v. Rangareddy,501502,3,11
17-10-2025,Telangana,K.v. Rangareddy,501503,2,7
17-10-2025,Telangana,K.v. Rangareddy,501505,9,11
17-10-2025,Telangana,Kamareddy,503102,1,1
17-10-2025,Telangana,Kamareddy,503120,1,9
17-10-2025,Telangana,Kamareddy,503187,1,15
17-10-2025,Telangana,Kamareddy,503302,0,2
17-10-2025,Telangana,Kamareddy,503309,2,3
17-10-2025,Telangana,Karimnagar,505102,1,0
17-10-2025,Telangana,Karimnagar,505129,3,6
17-10-2025,Telangana,Karimnagar,505174,1,9
17-10-2025,Telangana,Karimnagar,505184,2,9
17-10-2025,Telangana,Karimnagar,505469,0,23
17-10-2025,Telangana,Karimnagar,505481,0,4
17-10-2025,Telangana,Karimnagar,505498,1,3
17-10-2025,Telangana,Karimnagar,505503,2,13
17-10-2025,Telangana,Karimnagar,505505,0,14
17-10-2025,Telangana,Karimnagar,505514,0,1
17-10-2025,Telangana,Khammam,507101,0,2
17-10-2025,Telangana,Khammam,507115,1,5
17-10-2025,Telangana,Khammam,507157,0,9
17-10-2025,Telangana,Khammam,507163,6,10
17-10-2025,Telangana,Khammam,507165,4,18
17-10-2025,Telangana,Khammam,507183,0,1
17-10-2025,Telangana,Khammam,507203,4,9
17-10-2025,Telangana,Komaram Bheem,504292,5,30
17-10-2025,Telangana,Mahabubabad,506112,2,20
17-10-2025,Telangana,Mahabubabad,506317,0,3
17-10-2025,Telangana,Mahabubnagar,509104,2,5
17-10-2025,Telangana,Mahabubnagar,509125,12,13
17-10-2025,Telangana,Mahabubnagar,509128,3,8
17-10-2025,Telangana,Mahabubnagar,509132,15,4
17-10-2025,Telangana,Mahabubnagar,509153,0,2
17-10-2025,Telangana,Mahabubnagar,509204,10,17
17-10-2025,Telangana,Mahabubnagar,509205,4,10
17-10-2025,Telangana,Mahabubnagar,509206,3,4
17-10-2025,Telangana,Mahabubnagar,509208,5,6
17-10-2025,Telangana,Mahabubnagar,509228,0,6
17-10-2025,Telangana,Mahabubnagar,509301,13,23
17-10-2025,Telangana,Mahabubnagar,509320,4,7
17-10-2025,Telangana,Mahabubnagar,509325,0,1
17-10-2025,Telangana,Mahabubnagar,509351,6,1
17-10-2025,Telangana,Mahabubnagar,509375,6,13
17-10-2025,Telangana,Mahabubnagar,509410,2,1
17-10-2025,Telangana,Mancherial,504205,1,15
17-10-2025,Telangana,Mancherial,504272,1,7
17-10-2025,Telangana,Mancherial,504273,0,5
17-10-2025,Telangana,Medak,502103,0,5
17-10-2025,Telangana,Medak,502108,0,12
17-10-2025,Telangana,Medak,502210,1,8
17-10-2025,Telangana,Medak,502228,0,4
17-10-2025,Telangana,Medak,502248,2,14
17-10-2025,Telangana,Medak,502276,3,1
17-10-2025,Telangana,Medak,502280,0,1
17-10-2025,Telangana,Medak,502290,0,3
17-10-2025,Telangana,Medak,502295,0,2
17-10-2025,Telangana,Medak,502300,0,1
17-10-2025,Telangana,Medak,502307,0,1
17-10-2025,Telangana,Medak,502318,3,4
17-10-2025,Telangana,Medak,502329,0,1
17-10-2025,Telangana,Medak,502335,1,3
17-10-2025,Telangana,Medak,502371,2,4
17-10-2025,Telangana,Medchal-malkajgiri,500043,4,11
17-10-2025,Telangana,Medchal-malkajgiri,500049,2,4
17-10-2025,Telangana,Medchal-malkajgiri,500051,0,3
17-10-2025,Telangana,Medchal-malkajgiri,500067,1,6
17-10-2025,Telangana,Medchal-malkajgiri,500072,4,44
17-10-2025,Telangana,Medchal-malkajgiri,501301,8,24
17-10-2025,Telangana,Medchal−malkajgiri,500067,0,1
17-10-2025,Telangana,Medchal−malkajgiri,500072,1,2
17-10-2025,Telangana,Medchal−malkajgiri,501401,0,1
17-10-2025,Telangana,Mulugu,506352,1,15
17-10-2025,Telangana,Nagarkurnool,509203,1,12
17-10-2025,Telangana,Nagarkurnool,509235,1,1
17-10-2025,Telangana,Nagarkurnool,509301,0,4
17-10-2025,Telangana,Nagarkurnool,509324,6,19
17-10-2025,Telangana,Nagarkurnool,509349,0,5
17-10-2025,Telangana,Nalgonda,508114,2,24
17-10-2025,Telangana,Nalgonda,508201,1,4
17-10-2025,Telangana,Nalgonda,508202,6,10
17-10-2025,Telangana,Nalgonda,508205,2,21
17-10-2025,Telangana,Nalgonda,508207,9,85
17-10-2025,Telangana,Nalgonda,508213,3,16
17-10-2025,Telangana,Nalgonda,508243,4,20
17-10-2025,Telangana,Nalgonda,508257,2,11
17-10-2025,Telangana,Nalgonda,508277,2,5
17-10-2025,Telangana,Nalgonda,508355,1,18
17-10-2025,Telangana,Narayanpet,509339,0,1
17-10-2025,Telangana,Narayanpet,509353,5,11
17-10-2025,Telangana,Narayanpet,509409,1,5
17-10-2025,Telangana,Nirmal,504102,2,20
17-10-2025,Telangana,Nirmal,504310,2,18
17-10-2025,Telangana,Nizamabad,503108,1,4
17-10-2025,Telangana,Nizamabad,503122,2,9
17-10-2025,Telangana,Nizamabad,503175,5,17
17-10-2025,Telangana,Nizamabad,503207,6,7
17-10-2025,Telangana,Nizamabad,503307,2,28
17-10-2025,Telangana,Peddapalli,505184,3,9
17-10-2025,Telangana,Peddapalli,505185,0,11
17-10-2025,Telangana,Peddapalli,505187,0,7
17-10-2025,Telangana,Peddapalli,505215,0,1
17-10-2025,Telangana,Peddapalli,505416,0,3
17-10-2025,Telangana,Rajanna Sircilla,505301,2,18
17-10-2025,Telangana,Rajanna Sircilla,505302,4,18
17-10-2025,Telangana,Rajanna Sircilla,505303,7,20
17-10-2025,Telangana,Rajanna Sircilla,505304,0,6
17-10-2025,Telangana,Rajanna Sircilla,505403,0,5
17-10-2025,Telangana,Rajanna Sircilla,505524,1,10
17-10-2025,Telangana,Sangareddy,502032,10,36
17-10-2025,Telangana,Sangareddy,502210,0,2
17-10-2025,Telangana,Sangareddy,502220,3,8
17-10-2025,Telangana,Sangareddy,502221,0,2
17-10-2025,Telangana,Sangareddy,502246,0,2
17-10-2025,Telangana,Sangareddy,502249,0,5
17-10-2025,Telangana,Sangareddy,502313,1,8
17-10-2025,Telangana,Sangareddy,502371,0,3
17-10-2025,Telangana,Siddipet,502114,3,7
17-10-2025,Telangana,Siddipet,502301,0,1
17-10-2025,Telangana,Siddipet,502312,0,2
17-10-2025,Telangana,Siddipet,502334,2,8
17-10-2025,Telangana,Siddipet,505466,0,1
17-10-2025,Telangana,Siddipet,506223,3,12
17-10-2025,Telangana,Suryapet,508212,3,22
17-10-2025,Telangana,Suryapet,508224,0,3
17-10-2025,Telangana,Suryapet,508234,2,10
17-10-2025,Telangana,Suryapet,508376,4,7
17-10-2025,Telangana,Vikarabad,501106,2,20
17-10-2025,Telangana,Vikarabad,501111,0,3
17-10-2025,Telangana,Vikarabad,501141,20,79
17-10-2025,Telangana,Vikarabad,501143,2,23
17-10-2025,Telangana,Vikarabad,509338,6,36
17-10-2025,Telangana,Wanaparthy,509131,4,20
17-10-2025,Telangana,Warangal,506013,0,1
17-10-2025,Telangana,Warangal,506134,0,1
17-10-2025,Telangana,Warangal,506135,1,6
17-10-2025,Telangana,Warangal,506316,1,3
17-10-2025,Telangana,Warangal,506331,3,5
17-10-2025,Telangana,Warangal,506349,1,1
17-10-2025,Telangana,Warangal Rural,506112,0,1
17-10-2025,Telangana,Warangal Rural,506134,0,4
17-10-2025,Telangana,Warangal Rural,506365,1,1
17-10-2025,Telangana,Warangal Urban,506002,4,28
17-10-2025,Telangana,Warangal Urban,506013,0,7
17-10-2025,Telangana,Warangal Urban,506142,1,1
17-10-2025,Telangana,Yadadri.,508105,0,9
17-10-2025,Telangana,Yadadri.,508223,1,2
18-10-2025,Telangana,Adilabad,504106,2,6
18-10-2025,Telangana,Adilabad,504109,0,5
18-10-2025,Telangana,Adilabad,504110,0,3
18-10-2025,Telangana,Adilabad,504207,0,1
18-10-2025,Telangana,Adilabad,504219,0,1
18-10-2025,Telangana,Adilabad,504231,0,4
18-10-2025,Telangana,Adilabad,504295,0,2
18-10-2025,Telangana,Adilabad,504308,5,7
18-10-2025,Telangana,Adilabad,504310,2,2
18-10-2025,Telangana,Bhadradri Kothagudem,507101,10,35
18-10-2025,Telangana,Bhadradri Kothagudem,507120,1,4
18-10-2025,Telangana,Bhadradri Kothagudem,507128,1,4
18-10-2025,Telangana,Bhadradri Kothagudem,507140,1,8
18-10-2025,Telangana,Bhadradri Kothagudem,507303,2,9
18-10-2025,Telangana,Hanumakonda,506001,7,33
18-10-2025,Telangana,Hanumakonda,506004,1,7
18-10-2025,Telangana,Hanumakonda,506015,0,8
18-10-2025,Telangana,Hanumakonda,506164,0,4
18-10-2025,Telangana,Hanumakonda,506370,1,6
18-10-2025,Telangana,Hyderabad,500006,13,37
18-10-2025,Telangana,Hyderabad,500009,1,12
18-10-2025,Telangana,Hyderabad,500011,1,16
18-10-2025,Telangana,Hyderabad,500018,7,43
18-10-2025,Telangana,Hyderabad,500028,6,30
18-10-2025,Telangana,Hyderabad,500031,0,1
18-10-2025,Telangana,Hyderabad,500033,3,6
18-10-2025,Telangana,Hyderabad,500053,18,61
18-10-2025,Telangana,Hyderabad,500057,0,4
18-10-2025,Telangana,Hyderabad,500062,1,8
18-10-2025,Telangana,Hyderabad,500065,1,11
18-10-2025,Telangana,Hyderabad,500072,3,9
18-10-2025,Telangana,Hyderabad,500082,0,5
18-10-2025,Telangana,Jagitial,505331,0,10
18-10-2025,Telangana,Jagitial,505450,1,11
18-10-2025,Telangana,Jagitial,505501,1,3
18-10-2025,Telangana,Jangoan,506143,2,17
18-10-2025,Telangana,Jangoan,506221,1,11
18-10-2025,Telangana,Jangoan,506252,1,8
18-10-2025,Telangana,Jayashankar Bhupalpally,505504,1,3
18-10-2025,Telangana,Jayashankar Bhupalpally,506164,0,8
18-10-2025,Telangana,Jayashankar Bhupalpally,506168,2,16
18-10-2025,Telangana,Jayashankar Bhupalpally,506366,2,15
18-10-2025,Telangana,Jogulamba Gadwal,509127,0,9
18-10-2025,Telangana,K.v. Rangareddy,500030,3,9
18-10-2025,Telangana,K.v. Rangareddy,500047,7,25
18-10-2025,Telangana,K.v. Rangareddy,500049,10,48
18-10-2025,Telangana,K.v. Rangareddy,500055,2,8
18-10-2025,Telangana,K.v. Rangareddy,500070,9,30
18-10-2025,Telangana,K.v. Rangareddy,500086,4,11
18-10-2025,Telangana,K.v. Rangareddy,500087,1,4
18-10-2025,Telangana,K.v. Rangareddy,500088,3,5
18-10-2025,Telangana,K.v. Rangareddy,501121,2,7
18-10-2025,Telangana,K.v. Rangareddy,501141,2,14
18-10-2025,Telangana,K.v. Rangareddy,501144,3,4
18-10-2025,Telangana,K.v. Rangareddy,501202,2,19
18-10-2025,Telangana,K.v. Rangareddy,501301,5,22
18-10-2025,Telangana,K.v. Rangareddy,501401,4,3
18-10-2025,Telangana,K.v. Rangareddy,501506,1,9
18-10-2025,Telangana,K.v. Rangareddy,501510,4,20
18-10-2025,Telangana,K.v. Rangareddy,501512,0,1
18-10-2025,Telangana,K.v. Rangareddy,509216,8,30
18-10-2025,Telangana,K.v. Rangareddy,509217,4,12
18-10-2025,Telangana,K.v. Rangareddy,509410,1,17
18-10-2025,Telangana,Kamareddy,503110,1,12
18-10-2025,Telangana,Kamareddy,503123,4,43
18-10-2025,Telangana,Kamareddy,503124,1,3
18-10-2025,Telangana,Karimnagar,505001,12,65
18-10-2025,Telangana,Karimnagar,505172,2,11
18-10-2025,Telangana,Karimnagar,505188,1,2
18-10-2025,Telangana,Karimnagar,505301,4,9
18-10-2025,Telangana,Karimnagar,505306,0,1
18-10-2025,Telangana,Karimnagar,505330,0,1
18-10-2025,Telangana,Karimnagar,505415,1,15
18-10-2025,Telangana,Karimnagar,505454,2,8
18-10-2025,Telangana,Karimnagar,505455,2,1
18-10-2025,Telangana,Karimnagar,505471,2,4
18-10-2025,Telangana,Karimnagar,505502,1,13
18-10-2025,Telangana,Karimnagar,505528,0,2
18-10-2025,Telangana,Karimnagar,505532,1,8
18-10-2025,Telangana,Khammam,507001,6,24
18-10-2025,Telangana,Khammam,507002,9,26
18-10-2025,Telangana,Khammam,507101,1,1
18-10-2025,Telangana,Khammam,507119,0,2
18-10-2025,Telangana,Khammam,507168,3,10
18-10-2025,Telangana,Khammam,507211,0,1
18-10-2025,Telangana,Khammam,507302,3,10
18-10-2025,Telangana,Khammam,507303,4,17
18-10-2025,Telangana,Khammam,507305,0,7
18-10-2025,Telangana,Khammam,507306,1,1
18-10-2025,Telangana,Komaram Bheem,504292,0,25
18-10-2025,Telangana,Mahabubabad,506101,2,24
18-10-2025,Telangana,Mahabubabad,506105,2,16
18-10-2025,Telangana,Mahabubabad,506112,1,21
18-10-2025,Telangana,Mahabubabad,506315,1,10
18-10-2025,Telangana,Mahabubnagar,509120,1,0
18-10-2025,Telangana,Mahabubnagar,509129,3,5
18-10-2025,Telangana,Mahabubnagar,509132,7,3
18-10-2025,Telangana,Mahabubnagar,509203,2,3
18-10-2025,Telangana,Mahabubnagar,509209,0,11
18-10-2025,Telangana,Mahabubnagar,509216,2,1
18-10-2025,Telangana,Mahabubnagar,509219,4,12
18-10-2025,Telangana,Mahabubnagar,509311,1,8
18-10-2025,Telangana,Mahabubnagar,509327,1,2
18-10-2025,Telangana,Mahabubnagar,509335,0,2
18-10-2025,Telangana,Mahabubnagar,509349,4,9
18-10-2025,Telangana,Mahabubnagar,509353,4,3
18-10-2025,Telangana,Mahabubnagar,509357,2,10
18-10-2025,Telangana,Mahabubnagar,509360,3,6
18-10-2025,Telangana,Mahabubnagar,509380,4,10
18-10-2025,Telangana,Mahabubnagar,509382,9,19
18-10-2025,Telangana,Mahabubnagar,509385,3,6
18-10-2025,Telangana,Mahabubnagar,509412,1,10
18-10-2025,Telangana,Mancherial,504231,4,9
18-10-2025,Telangana,Mancherial,504251,2,19
18-10-2025,Telangana,Mancherial,504272,0,12
18-10-2025,Telangana,Mancherial,504301,2,6
18-10-2025,Telangana,Medak,502107,1,1
18-10-2025,Telangana,Medak,502221,2,10
18-10-2025,Telangana,Medak,502269,1,18
18-10-2025,Telangana,Medak,502270,2,11
18-10-2025,Telangana,Medak,502278,2,1
18-10-2025,Telangana,Medak,502285,2,3
18-10-2025,Telangana,Medak,502296,4,8
