date,state,district,pincode,bio_age_5_17,bio_age_17_
01-01-2026,Telangana,Adilabad,504304,21,26
01-01-2026,Telangana,Adilabad,504306,2,6
01-01-2026,Telangana,Adilabad,504311,19,18
01-01-2026,Telangana,Bhadradri Kothagudem,507114,1,0
01-01-2026,Telangana,Bhadradri Kothagudem,507115,18,7
01-01-2026,Telangana,Bhadradri Kothagudem,507116,5,3
01-01-2026,Telangana,Bhadradri Kothagudem,507301,4,1
01-01-2026,Telangana,Bhadradri Kothagudem,507306,6,2
01-01-2026,Telangana,Hanumakonda,505497,0,2
01-01-2026,Telangana,Hanumakonda,506009,1,1
01-01-2026,Telangana,Hanumakonda,506371,1,2
01-01-2026,Telangana,Hanumakonda,506391,1,2
01-01-2026,Telangana,Hyderabad,500001,57,25
01-01-2026,Telangana,Hyderabad,500004,34,20
01-01-2026,Telangana,Hyderabad,500008,143,66
01-01-2026,Telangana,Hyderabad,500018,54,23
01-01-2026,Telangana,Hyderabad,500020,51,21
01-01-2026,Telangana,Hyderabad,500033,6,7
01-01-2026,Telangana,Hyderabad,500049,22,9
01-01-2026,Telangana,Hyderabad,500054,26,15
01-01-2026,Telangana,Hyderabad,500057,15,6
01-01-2026,Telangana,Hyderabad,500059,90,46
01-01-2026,Telangana,Hyderabad,500062,14,19
01-01-2026,Telangana,Jagitial,505327,10,3
01-01-2026,Telangana,Jagitial,505416,2,0
01-01-2026,Telangana,Jagitial,505425,3,0
01-01-2026,Telangana,Jagitial,505454,5,1
01-01-2026,Telangana,Jagitial,505455,2,1
01-01-2026,Telangana,Jagitial,505462,3,0
01-01-2026,Telangana,Jagitial,505501,2,1
01-01-2026,Telangana,Jagitial,505529,1,2
01-01-2026,Telangana,Jangoan,506144,4,2
01-01-2026,Telangana,Jangoan,506301,1,1
01-01-2026,Telangana,Jangoan,506313,2,1
01-01-2026,Telangana,K.v. Rangareddy,500005,51,42
01-01-2026,Telangana,K.v. Rangareddy,500014,6,3
01-01-2026,Telangana,K.v. Rangareddy,500030,11,6
01-01-2026,Telangana,K.v. Rangareddy,500032,21,9
01-01-2026,Telangana,K.v. Rangareddy,500039,26,18
01-01-2026,Telangana,K.v. Rangareddy,500058,12,16
01-01-2026,Telangana,K.v. Rangareddy,500068,23,18
01-01-2026,Telangana,K.v. Rangareddy,500070,34,19
01-01-2026,Telangana,K.v. Rangareddy,500079,30,23
01-01-2026,Telangana,K.v. Rangareddy,500091,7,2
01-01-2026,Telangana,K.v. Rangareddy,500092,13,15
01-01-2026,Telangana,K.v. Rangareddy,501106,8,20
01-01-2026,Telangana,K.v. Rangareddy,501111,0,7
01-01-2026,Telangana,K.v. Rangareddy,501158,1,5
01-01-2026,Telangana,K.v. Rangareddy,501202,10,56
01-01-2026,Telangana,K.v. Rangareddy,501203,26,12
01-01-2026,Telangana,K.v. Rangareddy,501359,19,5
01-01-2026,Telangana,K.v. Rangareddy,501501,16,41
01-01-2026,Telangana,K.v. Rangareddy,501504,9,15
01-01-2026,Telangana,K.v. Rangareddy,501508,10,26
01-01-2026,Telangana,K.v. Rangareddy,501512,2,0
01-01-2026,Telangana,K.v. Rangareddy,502345,1,0
01-01-2026,Telangana,K.v. Rangareddy,509228,6,2
01-01-2026,Telangana,K.v. Rangareddy,509325,22,13
01-01-2026,Telangana,K.v. Rangareddy,509334,1,0
01-01-2026,Telangana,K.v. Rangareddy,509335,11,20
01-01-2026,Telangana,K.v. Rangareddy,509358,4,5
01-01-2026,Telangana,K.v. Rangareddy,509408,3,8
01-01-2026,Telangana,Kamareddy,503110,4,6
01-01-2026,Telangana,Kamareddy,503124,1,8
01-01-2026,Telangana,Kamareddy,503145,9,5
01-01-2026,Telangana,Kamareddy,503187,8,6
01-01-2026,Telangana,Kamareddy,503306,13,1
01-01-2026,Telangana,Kamareddy,503310,9,4
01-01-2026,Telangana,Karimnagar,505208,9,5
01-01-2026,Telangana,Karimnagar,505209,30,18
01-01-2026,Telangana,Karimnagar,505302,17,5
01-01-2026,Telangana,Karimnagar,505305,8,6
01-01-2026,Telangana,Karimnagar,505325,28,3
01-01-2026,Telangana,Karimnagar,505404,12,6
01-01-2026,Telangana,Karimnagar,505405,7,7
01-01-2026,Telangana,Karimnagar,505425,12,3
01-01-2026,Telangana,Karimnagar,505471,3,12
01-01-2026,Telangana,Karimnagar,505524,4,5
01-01-2026,Telangana,Khammam,507003,28,19
01-01-2026,Telangana,Khammam,507120,3,1
01-01-2026,Telangana,Khammam,507122,15,5
01-01-2026,Telangana,Khammam,507124,5,3
01-01-2026,Telangana,Khammam,507137,5,0
01-01-2026,Telangana,Khammam,507159,5,14
01-01-2026,Telangana,Khammam,507164,9,3
01-01-2026,Telangana,Khammam,507182,8,1
01-01-2026,Telangana,Khammam,507303,9,3
01-01-2026,Telangana,Khammam,507304,13,0
01-01-2026,Telangana,Khammam,507306,2,0
01-01-2026,Telangana,Komaram Bheem,504273,1,1
01-01-2026,Telangana,Komaram Bheem,504295,4,7
01-01-2026,Telangana,Komaram Bheem,504299,15,9
01-01-2026,Telangana,Mahabubabad,506105,6,3
01-01-2026,Telangana,Mahabubabad,506315,0,7
01-01-2026,Telangana,Mahabubabad,506324,6,4
01-01-2026,Telangana,Mahabubabad,507211,5,1
01-01-2026,Telangana,Mahabubnagar,509001,51,60
01-01-2026,Telangana,Mahabubnagar,509126,7,7
01-01-2026,Telangana,Mahabubnagar,509128,6,9
01-01-2026,Telangana,Mahabubnagar,509152,2,4
01-01-2026,Telangana,Mahabubnagar,509210,43,27
01-01-2026,Telangana,Mahabubnagar,509216,14,12
01-01-2026,Telangana,Mahabubnagar,509228,6,7
01-01-2026,Telangana,Mahabubnagar,509339,24,9
01-01-2026,Telangana,Mahabubnagar,509340,15,10
01-01-2026,Telangana,Mahabubnagar,509353,3,11
01-01-2026,Telangana,Mahabubnagar,509371,27,12
01-01-2026,Telangana,Mahabubnagar,509376,5,29
01-01-2026,Telangana,Mahabubnagar,509385,7,17
01-01-2026,Telangana,Mahabubnagar,509406,8,10
01-01-2026,Telangana,Mahabubnagar,509407,5,13
01-01-2026,Telangana,Mahabubnagar,509409,13,0
01-01-2026,Telangana,Mancherial,504201,1,8
01-01-2026,Telangana,Mancherial,504219,1,1
01-01-2026,Telangana,Mancherial,504231,12,4
01-01-2026,Telangana,Mancherial,504301,19,3
01-01-2026,Telangana,Mancherial,504303,9,2
01-01-2026,Telangana,Medak,502001,17,6
01-01-2026,Telangana,Medak,502107,14,0
01-01-2026,Telangana,Medak,502114,11,1
01-01-2026,Telangana,Medak,502130,10,4
01-01-2026,Telangana,Medak,502210,1,5
01-01-2026,Telangana,Medak,502249,7,10
01-01-2026,Telangana,Medak,502256,1,7
01-01-2026,Telangana,Medak,502285,3,6
01-01-2026,Telangana,Medak,502287,24,30
01-01-2026,Telangana,Medak,502295,5,3
01-01-2026,Telangana,Medak,502305,0,1
01-01-2026,Telangana,Medak,502311,1,1
01-01-2026,Telangana,Medak,502313,32,31
01-01-2026,Telangana,Medak,502318,3,6
01-01-2026,Telangana,Medak,502345,10,15
01-01-2026,Telangana,Medak,502371,20,14
01-01-2026,Telangana,Medak,502381,10,7
01-01-2026,Telangana,Medchal-malkajgiri,500010,10,10
01-01-2026,Telangana,Medchal-malkajgiri,500014,3,2
01-01-2026,Telangana,Medchal-malkajgiri,500037,6,5
01-01-2026,Telangana,Medchal-malkajgiri,500040,4,2
01-01-2026,Telangana,Medchal-malkajgiri,500049,2,1
01-01-2026,Telangana,Medchal-malkajgiri,500055,24,14
01-01-2026,Telangana,Medchal-malkajgiri,500100,1,2
01-01-2026,Telangana,Medchal−malkajgiri,500039,5,4
01-01-2026,Telangana,Medchal−malkajgiri,500043,4,4
01-01-2026,Telangana,Medchal−malkajgiri,500072,9,3
01-01-2026,Telangana,Medchal−malkajgiri,500078,1,0
01-01-2026,Telangana,Mulugu,506165,10,10
01-01-2026,Telangana,Mulugu,506343,6,3
01-01-2026,Telangana,Mulugu,506347,4,3
01-01-2026,Telangana,Mulugu,506349,2,1
01-01-2026,Telangana,Nagarkurnool,509206,7,2
01-01-2026,Telangana,Nagarkurnool,509301,3,0
01-01-2026,Telangana,Nagarkurnool,509349,9,2
01-01-2026,Telangana,Nagarkurnool,509375,5,2
01-01-2026,Telangana,Nagarkurnool,509376,2,2
01-01-2026,Telangana,Nagarkurnool,509411,2,0
01-01-2026,Telangana,Nalgonda,508004,7,2
01-01-2026,Telangana,Nalgonda,508101,14,8
01-01-2026,Telangana,Nalgonda,508112,7,2
01-01-2026,Telangana,Nalgonda,508202,16,12
01-01-2026,Telangana,Nalgonda,508211,27,20
01-01-2026,Telangana,Nalgonda,508217,13,4
01-01-2026,Telangana,Nalgonda,508221,11,3
01-01-2026,Telangana,Nalgonda,508238,3,3
01-01-2026,Telangana,Nalgonda,508248,34,48
01-01-2026,Telangana,Nalgonda,508255,17,4
01-01-2026,Telangana,Nalgonda,508279,3,3
01-01-2026,Telangana,Nalgonda,508280,5,4
01-01-2026,Telangana,Narayanpet,509204,1,0
01-01-2026,Telangana,Narayanpet,509351,4,2
01-01-2026,Telangana,Narayanpet,509407,8,4
01-01-2026,Telangana,Nirmal,504202,6,1
01-01-2026,Telangana,Nizamabad,503001,501,102
01-01-2026,Telangana,Nizamabad,503101,6,7
01-01-2026,Telangana,Nizamabad,503111,16,11
01-01-2026,Telangana,Nizamabad,503164,17,12
01-01-2026,Telangana,Nizamabad,503175,43,3
01-01-2026,Telangana,Nizamabad,503186,35,3
01-01-2026,Telangana,Nizamabad,503187,14,21
01-01-2026,Telangana,Nizamabad,503230,19,6
01-01-2026,Telangana,Nizamabad,503235,30,15
01-01-2026,Telangana,Nizamabad,503321,4,1
01-01-2026,Telangana,Peddapalli,505188,1,4
01-01-2026,Telangana,Peddapalli,505525,10,5
01-01-2026,Telangana,Rajanna Sircilla,505405,5,4
01-01-2026,Telangana,Rangareddy,501510,2,4
01-01-2026,Telangana,Rangareddy,509207,0,1
01-01-2026,Telangana,Sangareddy,502251,4,0
01-01-2026,Telangana,Sangareddy,502270,5,6
01-01-2026,Telangana,Sangareddy,502287,6,4
01-01-2026,Telangana,Sangareddy,502296,5,0
01-01-2026,Telangana,Sangareddy,502300,10,2
01-01-2026,Telangana,Sangareddy,502321,5,1
01-01-2026,Telangana,Siddipet,502103,25,12
01-01-2026,Telangana,Siddipet,502267,3,1
01-01-2026,Telangana,Siddipet,502281,1,1
01-01-2026,Telangana,Siddipet,502310,0,1
01-01-2026,Telangana,Siddipet,502336,1,0
01-01-2026,Telangana,Siddipet,502375,1,3
01-01-2026,Telangana,Siddipet,506367,4,1
01-01-2026,Telangana,Suryapet,508222,3,0
01-01-2026,Telangana,Suryapet,508233,3,6
01-01-2026,Telangana,Suryapet,508376,2,4
01-01-2026,Telangana,Vikarabad,501141,7,5
01-01-2026,Telangana,Vikarabad,509338,22,6
01-01-2026,Telangana,Wanaparthy,509131,3,2
01-01-2026,Telangana,Wanaparthy,509382,5,2
01-01-2026,Telangana,Warangal,506001,20,10
01-01-2026,Telangana,Warangal,506003,7,5
01-01-2026,Telangana,Warangal,506009,3,1
01-01-2026,Telangana,Warangal,506015,6,2
01-01-2026,Telangana,Warangal,506101,23,19
01-01-2026,Telangana,Warangal,506105,8,6
01-01-2026,Telangana,Warangal,506112,4,6
01-01-2026,Telangana,Warangal,506134,9,1
01-01-2026,Telangana,Warangal,506135,14,5
01-01-2026,Telangana,Warangal,506143,6,3
01-01-2026,Telangana,Warangal,506164,7,4
01-01-2026,Telangana,Warangal,506223,22,14
01-01-2026,Telangana,Warangal,506324,10,11
01-01-2026,Telangana,Warangal,506349,8,3
01-01-2026,Telangana,Warangal,506391,5,2
01-01-2026,Telangana,Warangal Rural,506005,1,0
01-01-2026,Telangana,Warangal Rural,506132,1,1
01-01-2026,Telangana,Warangal Rural,506314,3,3
01-01-2026,Telangana,Warangal Rural,506331,6,2
01-01-2026,Telangana,Warangal Rural,506342,2,4
01-01-2026,Telangana,Warangal Rural,506349,3,2
01-01-2026,Telangana,Warangal Rural,506365,3,0
01-01-2026,Telangana,Warangal Rural,506391,3,0
01-01-2026,Telangana,Warangal Urban,506015,6,1
01-01-2026,Telangana,Warangal Urban,506151,5,0
01-01-2026,Telangana,Warangal Urban,506370,3,2
01-01-2026,Telangana,Yadadri.,508101,11,4
01-01-2026,Telangana,Yadadri.,508105,4,3
01-01-2026,Telangana,Yadadri.,508223,1,0
01-01-2026,Telangana,Yadadri.,508252,22,5
01-01-2026,Telangana,Yadadri.,508277,19,6
03-01-2026,Telangana,Adilabad,504001,13,10
03-01-2026,Telangana,Adilabad,504101,1,0
03-01-2026,Telangana,Adilabad,504110,2,3
03-01-2026,Telangana,Adilabad,504203,4,0
03-01-2026,Telangana,Adilabad,504209,2,0
03-01-2026,Telangana,Adilabad,504214,1,2
03-01-2026,Telangana,Adilabad,504215,1,1
03-01-2026,Telangana,Adilabad,504231,1,0
03-01-2026,Telangana,Adilabad,504296,2,1
03-01-2026,Telangana,Adilabad,504306,0,3
03-01-2026,Telangana,Adilabad,504323,0,2
03-01-2026,Telangana,Bhadradri Kothagudem,507111,1,0
03-01-2026,Telangana,Bhadradri Kothagudem,507123,1,2
03-01-2026,Telangana,Bhadradri Kothagudem,507140,0,1
03-01-2026,Telangana,Bhadradri Kothagudem,507306,1,0
03-01-2026,Telangana,Hanumakonda,506004,1,1
03-01-2026,Telangana,Hanumakonda,506006,0,1
03-01-2026,Telangana,Hyderabad,500009,3,1
03-01-2026,Telangana,Hyderabad,500018,9,7
03-01-2026,Telangana,Hyderabad,500023,19,10
03-01-2026,Telangana,Hyderabad,500024,1,4
03-01-2026,Telangana,Hyderabad,500028,29,6
03-01-2026,Telangana,Hyderabad,500033,2,1
03-01-2026,Telangana,Hyderabad,500045,9,4
03-01-2026,Telangana,Hyderabad,500082,4,4
03-01-2026,Telangana,Hyderabad,500094,1,0
03-01-2026,Telangana,Jagitial,505452,1,0
03-01-2026,Telangana,Jangoan,506301,1,0
03-01-2026,Telangana,K.v. Rangareddy,500074,3,4
03-01-2026,Telangana,K.v. Rangareddy,500077,3,1
03-01-2026,Telangana,K.v. Rangareddy,500078,1,1
03-01-2026,Telangana,K.v. Rangareddy,500087,2,3
03-01-2026,Telangana,K.v. Rangareddy,500098,1,0
03-01-2026,Telangana,K.v. Rangareddy,501106,0,3
03-01-2026,Telangana,K.v. Rangareddy,501143,2,5
03-01-2026,Telangana,K.v. Rangareddy,501144,0,1
03-01-2026,Telangana,K.v. Rangareddy,501501,1,12
03-01-2026,Telangana,K.v. Rangareddy,501509,0,4
03-01-2026,Telangana,K.v. Rangareddy,509207,0,1
03-01-2026,Telangana,K.v. Rangareddy,509217,0,1
03-01-2026,Telangana,K.v. Rangareddy,509408,4,1
03-01-2026,Telangana,K.v. Rangareddy,509410,2,0
03-01-2026,Telangana,Kamareddy,503120,1,0
03-01-2026,Telangana,Kamareddy,503122,1,0
03-01-2026,Telangana,Kamareddy,503144,0,4
03-01-2026,Telangana,Kamareddy,503187,3,2
03-01-2026,Telangana,Karimnagar,505153,0,3
03-01-2026,Telangana,Karimnagar,505214,0,1
03-01-2026,Telangana,Karimnagar,505303,0,2
03-01-2026,Telangana,Karimnagar,505325,4,0
03-01-2026,Telangana,Karimnagar,505326,3,2
03-01-2026,Telangana,Karimnagar,505331,4,0
03-01-2026,Telangana,Karimnagar,505416,1,0
03-01-2026,Telangana,Karimnagar,505452,0,1
03-01-2026,Telangana,Karimnagar,505468,0,1
03-01-2026,Telangana,Karimnagar,505475,1,0
03-01-2026,Telangana,Karimnagar,505476,0,1
03-01-2026,Telangana,Karimnagar,505530,1,3
03-01-2026,Telangana,Khammam,507003,4,1
03-01-2026,Telangana,Khammam,507101,2,2
03-01-2026,Telangana,Khammam,507119,0,1
03-01-2026,Telangana,Khammam,507123,1,1
03-01-2026,Telangana,Khammam,507160,1,2
03-01-2026,Telangana,Khammam,507161,2,0
03-01-2026,Telangana,Khammam,507169,3,0
03-01-2026,Telangana,Khammam,507183,1,0
03-01-2026,Telangana,Khammam,507202,0,1
03-01-2026,Telangana,Khammam,507209,1,2
03-01-2026,Telangana,Khammam,507211,2,0
03-01-2026,Telangana,Khammam,507306,1,0
03-01-2026,Telangana,Komaram Bheem,504296,0,2
03-01-2026,Telangana,Mahabubabad,507210,1,1
03-01-2026,Telangana,Mahabubabad,507211,1,0
03-01-2026,Telangana,Mahabubnagar,509120,3,0
03-01-2026,Telangana,Mahabubnagar,509126,0,1
03-01-2026,Telangana,Mahabubnagar,509128,2,0
03-01-2026,Telangana,Mahabubnagar,509130,2,1
03-01-2026,Telangana,Mahabubnagar,509204,1,2
03-01-2026,Telangana,Mahabubnagar,509207,1,0
03-01-2026,Telangana,Mahabubnagar,509209,4,6
03-01-2026,Telangana,Mahabubnagar,509219,1,1
03-01-2026,Telangana,Mahabubnagar,509327,0,1
03-01-2026,Telangana,Mahabubnagar,509339,3,4
03-01-2026,Telangana,Mahabubnagar,509351,1,1
03-01-2026,Telangana,Mahabubnagar,509358,1,0
03-01-2026,Telangana,Mahabubnagar,509407,1,0
03-01-2026,Telangana,Mahabubnagar,509411,1,0
03-01-2026,Telangana,Medak,502001,2,1
03-01-2026,Telangana,Medak,502032,1,2
03-01-2026,Telangana,Medak,502102,1,1
03-01-2026,Telangana,Medak,502125,2,0
03-01-2026,Telangana,Medak,502255,0,1
03-01-2026,Telangana,Medak,502270,2,3
03-01-2026,Telangana,Medak,502276,1,0
03-01-2026,Telangana,Medak,502286,6,6
03-01-2026,Telangana,Medak,502287,2,8
03-01-2026,Telangana,Medak,502290,1,2
03-01-2026,Telangana,Medak,502291,0,1
03-01-2026,Telangana,Medak,502318,1,1
03-01-2026,Telangana,Medak,502319,5,3
03-01-2026,Telangana,Medak,502336,0,5
03-01-2026,Telangana,Medak,502381,1,0
03-01-2026,Telangana,Medchal-malkajgiri,500043,0,2
03-01-2026,Telangana,Medchal-malkajgiri,500085,0,2
03-01-2026,Telangana,Medchal-malkajgiri,500090,3,5
03-01-2026,Telangana,Medchal-malkajgiri,500103,0,1
03-01-2026,Telangana,Medchal−malkajgiri,500085,1,0
03-01-2026,Telangana,Mulugu,506165,0,2
03-01-2026,Telangana,Mulugu,506345,3,0
03-01-2026,Telangana,Nagarkurnool,509235,1,0
